commodity,date,sentiment_positive_mean,sentiment_neutral_mean,sentiment_negative_mean,article_count,dominant_sentiment,sentiment_dispersion
Wheat,2014-05-04,0.7390626668930054,0.1091536581516265,0.1517836600542068,1,positive,0.0
Wheat,2014-05-06,0.6028306484222412,0.3820649683475494,0.0151043524965643,1,positive,0.0
Wheat,2014-05-11,0.0154395960271358,0.1757878512144088,0.8087725043296814,1,negative,0.0
Wheat,2014-05-26,0.1906771063804626,0.7961175441741943,0.0132052926346659,1,neutral,0.0
Wheat,2014-06-03,0.1111525148153305,0.3824720382690429,0.5063754320144653,1,negative,0.0
Wheat,2014-06-13,0.0736353145912289,0.47283440083265305,0.4535302985459566,2,neutral,0.044332209043204805
Wheat,2014-06-19,0.8226733207702637,0.1625363081693649,0.0147904064506292,1,positive,0.0
Wheat,2014-06-29,0.452390193939209,0.4676755666732788,0.0799342542886734,1,neutral,0.0
Wheat,2014-07-08,0.0087033342570066,0.024219911545515,0.96707683801651,1,negative,0.0
Wheat,2014-07-23,0.1150195822119712,0.8733153343200684,0.0116650611162185,1,neutral,0.0
Wheat,2014-07-26,0.1322223544120788,0.6983715295791626,0.1694061309099197,1,neutral,0.0
Wheat,2014-07-31,0.05740258842706675,0.6439318358898163,0.29866556823253626,2,neutral,0.02837173640727995
Wheat,2014-08-01,0.0665361881256103,0.8914204835891724,0.0420433580875396,1,neutral,0.0
Wheat,2014-08-30,0.0150367384776473,0.0865508019924163,0.8984124064445496,1,negative,0.0
Wheat,2014-09-24,0.0521987378597259,0.4494978785514831,0.4983033537864685,1,negative,0.0
Wheat,2014-09-29,0.1308553814888,0.8574256300926208,0.0117190312594175,1,neutral,0.0
Wheat,2014-10-27,0.4148347973823547,0.5753573775291443,0.0098077887669205,1,neutral,0.0
Wheat,2014-10-30,0.7358954548835754,0.2369793802499771,0.0271252002567052,1,positive,0.0
Wheat,2014-10-31,0.1226225793361663,0.8272557258605957,0.0501217432320117,1,neutral,0.0
Wheat,2014-11-16,0.0834404900670051,0.9032350182533264,0.0133245270699262,1,neutral,0.0
Wheat,2014-11-22,0.0446062572300434,0.8917592167854309,0.0636345297098159,1,neutral,0.0
Wheat,2014-12-07,0.0896889641880989,0.8345237970352173,0.0757873058319091,1,neutral,0.0
Wheat,2015-01-05,0.1080471575260162,0.5355262160301208,0.3564266264438629,1,neutral,0.0
