publish_date,headline_category,headline_text,commodity
2013-10-24,city.delhi,Crop loss or hoarding Peeling onion crisis not easy,Onion
2013-10-24,city.chennai,Onion prices drop in Tamil Nadu but northern states weep,Onion
2013-10-24,city.ranchi,Vegetable prices compete with onion,Onion
2013-10-24,city.goa,Onion prices again touch Rs 70/kg in Goa,Onion
2013-10-24,city.nashik,Wholesale onion prices stabilise at Lasalgaon,Onion
2013-10-24,india,Centre gives Maharashtra Rs 921.98 crore to compensate loss of onion farmers,Onion
2013-10-24,india,Onion shortage temporary; government says,Onion
2013-10-25,city.bengaluru,Cold storages for onion; chillies in the offing,Onion
2013-10-25,india,Jharkhand BJP leaders apply for 'Onion Loan',Onion
2013-10-25,city.ahmedabad,Now; CCTVs work as 24x7 onion guards!,Onion
2013-10-25,city.nashik,Delhi team in Nashik to assess onion prices,Onion
2013-10-25,city.mumbai,New onion supplies arrive in Mumbai; but price still at Rs 60-65,Onion
2013-10-25,city.nashik,Onion prices continue to decline at Lasalgaon,Onion
2013-10-25,unknown,Onion Crisis: Best Substitutes for Onions,Onion
2013-10-25,city.kanpur,27 trucks of onion arrive from Maharashtra,Onion
2013-10-25,india,Onion prices to come down in next 10 days; food minister says,Onion
2013-10-26,city.kolkata,Potato goes the onion way; govt freezes price,Onion
2013-10-26,india,Onion crisis will be over in 10 days: Tariq Anwar,Onion
2013-10-26,city.mumbai,Maharashtra CM charts onion solution for Delhi; forgets Mumbai,Onion
2013-10-26,city.thiruvananthapuram,No tears: Onion now their pet hate,Onion
2013-10-27,city.delhi,Onion prices tamed but meat turns dear,Onion
2013-10-27,city.delhi,CM speaks out on onion issue to take edge off the pinch,Onion
2013-10-27,city.mumbai,Price of tomato rises in tandem with onion,Onion
2013-10-27,city.nashik,Jittery over onion crisis; Delhi govt turns to Nashik in election run-up,Onion
2013-10-27,city.kochi,Eateries return to 'nadan' style as onion prices soar,Onion
2013-10-28,city.ahmedabad,Tomato joins onion in price race; gravy in trouble,Onion
2013-10-29,city.ahmedabad,Wholesale onion prices fall by Rs 15 to touch Rs 50 per kg,Onion
2013-10-30,city.nashik,Onion markets heading for a glut,Onion
2013-11-01,city.nashik,Lasalgaon onion rates dip further,Onion
2013-11-01,city.noida,Onion costs less; potato and tomato prices go up,Onion
2013-11-01,city.nagpur,After onion; now potato turns pricey,Onion
2013-11-01,city.varanasi,Cops bust inter-state gang of onion looters,Onion
2013-11-02,city.ranchi,After onion; potato prices on festive rally,Onion
2013-11-02,india,Gang loots onion truck; kills driver and cleaner in UP,Onion
2013-11-02,city.lucknow,Gang loots onion truck; kills driver; cleaner,Onion
2013-11-02,city.nashik,Absence of labourers and supply halts onion auction at Lasalgaon,Onion
2013-11-02,india,Congress blames Modi for rise in onion prices,Onion
2013-11-02,city.bhubaneswar,Onion stir: 8 BJP men held,Onion
